SALIC;TITULO_PROJETO;MUNICIPIO_PROPONENTE;UF_PROPONENTE;SITUACAO_REGISTRO;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;LEI_8313;ART1;ART1A;ART3;ART3A;ART39;FUNCINES;TOTAL_CAPTADO;DT_APROVACAO_CAPTACAO;DT_1_LIBERACAO
21-0160;Dalia e o Livro Vermelho - ANIMAÇÃO;SÃO PAULO;SP;DEFERIDO;28.303.041/0001-76;CINE 2 PRODUÇÕES CINEMATOGRÁFICAS LTDA;0,0;0,0;0,0;0,0;3000000,0;0,0;0,0;3000000,0;06/12/2021;05/07/2022
18-0030;Juacas - Segunda Temporada;SÃO PAULO;SP;DEFERIDO;28.303.041/0001-76;CINE 2 PRODUÇÕES CINEMATOGRÁFICAS LTDA;0,0;0,0;0,0;3000000,0;0,0;1707726,55;0,0;4707726,55;22/01/2018;14/11/2018
03-0202; O LONGO AMANHECER - CINEBIOGRAFIA DE CELSO FURTADO (EX CIENTISTA BRASILEIRO - CELSO FURTADO);RIO DE JANEIRO;RJ;DEFERIDO;28.330.561/0001-78;ANDALUZ PRODUÇÕES CINEMATOGRÁFICAS LTDA.;0,0;235000,0;0,0;0,0;0,0;0,0;0,0;235000,0;03/10/2003;15/01/2004
08-0008;Um Sonho Intenso (Ex - A História da Economia do Brasil 1930/2005);RIO DE JANEIRO;RJ;DEFERIDO;28.330.561/0001-78;ANDALUZ PRODUÇÕES CINEMATOGRÁFICAS LTDA.;0,0;350000,0;530000,0;0,0;0,0;0,0;0,0;880000,0;19/03/2008;24/01/2011
14-0455;LIVRE PENSAR - CINEBIOGRAFIA - MARIA DA CONCEIÇÃO TAVARES (EX MARIA DA CONCEIÇÃO TAVARES);RIO DE JANEIRO;RJ;DEFERIDO;28.330.561/0001-78;ANDALUZ PRODUÇÕES CINEMATOGRÁFICAS LTDA.;700000,0;0,0;0,0;0,0;0,0;0,0;0,0;700000,0;03/11/2014;06/04/2016
20-0040;OS AVENTUREIROS - A ORIGEM;RIO DE JANEIRO;RJ;DEFERIDO;28.485.087/0001-53;LUCCAS TOON STUDIOS LTDA;0,0;0,0;0,0;2969954,5;0,0;0,0;0,0;2969954,5;14/04/2020;04/11/2022
20-0056;NOSSA BOSSA;RIO DE JANEIRO;RJ;DEFERIDO;28.629.780/0001-52;VISON PRODUÇOES ARTISTICAS LTDA.;0,0;0,0;0,0;0,0;0,0;326653,35;0,0;326653,35;30/04/2020;08/02/2022
15-0129;Conselho Tutelar - 2ª Temporada;RIO DE JANEIRO;RJ;DEFERIDO;28.629.780/0001-52;VISON PRODUÇOES ARTISTICAS LTDA.;0,0;0,0;0,0;0,0;3000000,0;0,0;0,0;3000000,0;29/04/2015;24/12/2015
15-0233;Conselho Tutelar - 3ª Temporada;RIO DE JANEIRO;RJ;DEFERIDO;28.629.780/0001-52;VISON PRODUÇOES ARTISTICAS LTDA.;0,0;0,0;0,0;2386438,76;613561,24;0,0;0,0;3000000,0;10/06/2015;10/02/2017
13-0361;Conselho Tutelar;RIO DE JANEIRO;RJ;DEFERIDO;28.629.780/0001-52;VISON PRODUÇOES ARTISTICAS LTDA.;0,0;0,0;0,0;0,0;2249664,41;0,0;0,0;2249664,41;26/09/2013;07/05/2014
13-0118;Na Fita;RIO DE JANEIRO;RJ;DEFERIDO;28.629.780/0001-52;VISON PRODUÇOES ARTISTICAS LTDA.;0,0;0,0;0,0;0,0;0,0;199500,0;0,0;199500,0;02/05/2013;27/12/2013
21-0199;Maria Lenk, de braços abertos;RIO DE JANEIRO;RJ;DEFERIDO;29.015.700/0001-31;MOVEME PRODUCOES AUDIOVISUAIS E CULTURAIS LTDA;0,0;0,0;0,0;0,0;760000,0;0,0;0,0;760000,0;13/12/2021;05/10/2022
12-0532;RIO DA DÚVIDA;RIO DE JANEIRO;RJ;DEFERIDO;29.055.209/0001-34;BARRA FILMES LTDA;0,0;0,0;4000000,0;0,0;0,0;0,0;0,0;4000000,0;27/12/2012;01/10/2014
06-0245;OS ANTI-PRÓS;RIO DE JANEIRO;RJ;IRREGULAR;29.169.034/0001-96;FR AVENTURA PRODUÇÕES LTDA;120000,0;0,0;0,0;0,0;42691,74;0,0;0,0;162691,74;03/11/2006;24/05/2011
12-0244;O CRIME DA GÁVEA;RIO DE JANEIRO;RJ;DEFERIDO;29.185.956/0001-97;M D PRODUÇÕES ARTÍSTICAS LTDA;0,0;0,0;50000,0;0,0;0,0;0,0;0,0;50000,0;13/07/2012;04/11/2016
